1977146.5	0
1023107.5	0.01
1658046.5	1.4
174181575	1.51
2492062	3
3547990.5	6.7
6915953	13.79
6805569.5	13.79
257567.5	21
10004278	26.3
8817177.5	26.5
9819024	27.1
10443543.5	28
12672062.5	31
12966138.5	32.15
13149751.5	32.32
14788054.5	33.7
15984987	34.33
17396794	38
21791479.5	44.01
21836780.5	44.15
22307735	44.5
22505260.5	44.7
23710455.5	45.02
26139442.5	49.4
46525482	50.3
52924108.5	50.51
64109740.5	50.75
41436557.5	51.01
45258769.5	51.03
73468056	51.25
68816773	51.5
70013872	51.5
71899624.5	51.8
74205841.5	52
74459206.5	54
75149332.5	55
80090091.5	58
80442588.5	58.1
80733264	58.1
81768020	58.23
85068517	60.17
86007698	60.27
92640120	61.48
94990106	61.53
74613722.5	62.76
102415523.5	68.76
100556365	68.76
103458355	70.68
104159005	71.1
104191972	71.15
105236460	71.25
105193266	71.25
107055416.5	72.5
109464380.5	73.75
109543558.5	73.75
109747663.5	73.75
111485552.5	73.76
111651825.5	73.83
97516114.5	74
113393276	76.01
119146301	78
121127492	79
123105008.5	81
146865657.5	83
126284053.5	84.25
126881460	84.27
126973827.5	84.29
127174894	84.3
128116409	85
127856425	85
128042343.5	85
131543569.5	88.01
132313974	88.52
133850449	89
134763363.5	90
136010650	90.2
136858783.5	91
138416773.5	93
138820371	94
140939293.5	94.5
141808974	94.5
141383863	94.55
140121823	94.56
142218469	94.57
143024266.5	95.5
143690179.5	95.73
144287248	95.75
144613627	95.75
145551863.5	96
150483719.5	97.02
151281421	97.1
151510783.5	97.2
152075335.5	97.3
152526768.5	97.4
215832729.5	97.5
155131030.5	98
160221801	99
160278593	99
159244343.5	101.1
161931396	102.75
161412771	102.75
163876889.5	103
164047090.5	103.25
165204466	103.48
163616263	105.5
156768691	106
60757811	106.5
166920433	107
167588438.5	108
168305036.5	108.5
169185142	110
169620267	111
170601525.5	113
170779846.5	114
172039477	118
173982930.5	120
172653523.5	120.3
173528303	121.73
173523600.5	122.43
174972631	127.45
176006909.5	132
176517661	135
176656363.5	135
176650235	135
176579085.5	135
176777516	135.08
176810811	135.08
177087514.5	137
178403678	142.25
178413252	142.88
178702180.5	149.1
179672578.5	155.51
180242393	156
180334638.5	156
180622474.5	158
180683177.5	158
219040998.5	172.3
